,srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
0,59.166.0.4,56329,149.171.126.2,80,tcp,FIN,1.028749,1684,10168,31,29,3,5,http,12162.344729999999,74684.88281,14,18,255,255,2693130613,2694221421,120,565,1,3924,8766.59459,7677.742679999999,1421927813,1421927814,79.095464,60.480176,0.000714,0.000557,0.000157,0,0,1,0,0,2,1,4,3,1,1,1,,0
1,59.166.0.3,35023,149.171.126.5,80,tcp,FIN,12.899583,18578,1087890,31,29,2,370,http,11488.74316,673778.0625,348,746,255,255,2117676760,2147789215,53,1458,1,524288,2501.310224,1592.464849,1421927801,1421927814,37.173652000000004,17.314252,0.000642,0.000463,0.00017900000000000001,0,0,1,0,0,2,1,2,1,1,1,1,,0
2,59.166.0.3,12787,149.171.126.4,80,tcp,FIN,13.853370000000002,18890,1087890,31,29,2,370,http,10877.93066,627389.3125,354,746,255,255,4203064307,2086128545,53,1458,1,524288,2791.3872109999998,1860.513766,1421927801,1421927815,39.243699,18.594452,0.00062,0.000496,0.000124,0,0,1,0,0,2,2,3,1,1,1,1,,0
3,59.166.0.6,58309,149.171.126.0,80,tcp,FIN,1.0688739999999999,1684,10168,31,29,3,5,http,11705.77637,71881.25,14,18,255,255,1627744663,1628810555,120,565,1,3924,8782.983565,7691.178293000001,1421927814,1421927815,82.19323299999999,62.841824,0.000724,0.000559,0.000165,0,0,1,0,0,2,3,2,2,1,1,1,,0
4,59.166.0.9,63212,149.171.126.4,80,tcp,FIN,1.0088469999999998,1684,10168,31,29,3,5,http,12402.27734,76158.22656,14,18,255,255,1387742332,3538357601,120,565,1,3924,8765.609249,7675.652131,1421927814,1421927815,77.576464,59.311294,0.000697,0.000551,0.000146,0,0,1,0,0,1,2,3,1,1,1,1,,0
5,59.166.0.2,17936,149.171.126.8,80,tcp,FIN,1.010876,1684,10168,31,29,3,5,http,12377.38281,76005.35938,14,18,255,255,2409840544,261224890,120,565,1,3924,8766.016161,7675.245309999999,1421927816,1421927817,77.72869200000001,59.432176,0.00066,0.000525,0.000135,0,0,1,0,0,3,2,2,3,1,1,1,,0
6,59.166.0.8,2971,149.171.126.1,80,tcp,FIN,5.888597,18578,1087890,31,29,2,370,http,25167.28516,1475980.75,348,746,255,255,4004807993,1883384973,53,1458,1,524288,1072.435645,697.4173059999999,1421927811,1421927817,16.969073,7.9034949999999995,0.0006230000000000001,0.00049,0.000133,0,0,1,0,0,2,2,3,3,1,1,1,,0
7,175.45.176.1,58406,149.171.126.11,80,tcp,FIN,1.115159,1200,5142,62,252,3,4,http,7891.250977,33817.59766,12,12,255,255,1471064155,2970622951,100,429,1,32,4941.770004,5592.180321,1421927817,1421927818,101.378089,85.119729,0.24144200000000002,0.156192,0.08525,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
8,59.166.0.5,25737,149.171.126.9,80,tcp,FIN,17.851957000000002,18890,1087890,31,29,2,370,http,8441.427734,486862.9063,354,746,255,255,1397677621,1398686508,53,1458,1,524288,6030.9522289999995,4135.776492,1421927800,1421927818,50.571186,23.961632,0.000667,0.000537,0.00013000000000000002,0,0,1,0,0,1,3,5,4,1,1,3,,0
9,59.166.0.2,46717,149.171.126.9,80,tcp,FIN,1.29711,1684,10168,31,29,3,5,http,9646.05957,59233.21875,14,18,255,255,800261200,801307054,120,565,1,3924,9702.376765,8492.222690999999,1421927817,1421927818,99.749385,76.26752900000001,0.0008359999999999999,0.0005549999999999999,0.000281,0,0,1,0,0,3,3,5,5,1,1,2,,0
10,59.166.0.7,29885,149.171.126.1,80,tcp,FIN,1.215929,1684,10168,31,29,3,5,http,10290.07422,63187.89844,14,18,255,255,2829839990,2830912967,120,565,1,3924,10434.03709,9134.080403,1421927816,1421927818,93.50376700000001,71.492471,0.000712,0.00055,0.000162,0,0,1,0,0,2,2,6,1,1,1,1,,0
11,59.166.0.8,56141,149.171.126.8,80,tcp,FIN,5.015981,18162,1087890,31,29,2,370,http,28882.085939999997,1732752.875,340,746,255,255,2637324551,2635812833,53,1458,1,524288,931.239395,602.6490719999999,1421927813,1421927818,14.79546,6.732152,0.000641,0.000518,0.000123,0,0,1,0,0,2,2,2,1,1,1,1,,0
12,59.166.0.2,1936,149.171.126.2,80,tcp,FIN,1.223933,1684,10168,31,29,3,5,http,10222.782229999999,62774.67969,14,18,255,255,1400261068,1410805671,120,565,1,3924,8855.106704,7752.378662,1421927818,1421927819,94.11853599999999,71.969,0.000588,0.00045599999999999997,0.000132,0,0,1,0,0,3,1,3,2,1,1,1,,0
13,59.166.0.9,35918,149.171.126.9,80,tcp,FIN,1.143286,1684,10168,31,29,3,5,http,10943.893559999999,67202.78125,14,18,255,255,3429841430,1281323116,120,565,1,3924,8850.348415999999,7749.260818000001,1421927817,1421927819,87.918387,67.219,0.000719,0.000556,0.00016299999999999998,0,0,1,0,0,1,3,2,3,1,1,1,,0
14,59.166.0.0,2905,149.171.126.5,80,tcp,FIN,1.0609950000000001,1580,10168,31,29,3,5,http,10925.59375,72415.04688,12,18,255,255,1700267127,1717522260,132,565,1,3924,9641.372774,7764.472028,1421927818,1421927819,96.420999,62.38011899999999,0.000672,0.000526,0.000146,0,0,1,0,0,3,1,5,3,2,1,1,,0
15,59.166.0.0,17885,149.171.126.7,80,tcp,FIN,1.283843,1580,10168,31,29,3,5,http,9029.141602,59845.32031,12,18,255,255,3485646827,1439103619,132,565,1,3924,9859.420619,7942.091978,1421927818,1421927819,116.679997,75.491176,0.0006190000000000001,0.00048600000000000005,0.000133,0,0,1,0,0,3,2,2,3,2,1,1,,0
16,175.45.176.2,1515,149.171.126.15,80,tcp,FIN,0.686183,802,3934,62,252,2,3,http,8417.580078,41283.44922,10,10,255,255,486486592,1075139030,80,393,0,0,3864.42547,4400.21898,1421927818,1421927819,76.168778,66.281667,0.180426,0.089644,0.090782,0,1,0,0,0,1,1,1,2,1,1,1,Exploits,1
17,175.45.176.2,15210,149.171.126.11,80,tcp,FIN,0.642515,864,268,254,252,2,1,http,9686.933594,2789.040039,10,6,255,255,1222974892,895333635,86,45,0,0,3670.6894,180.123172,1421927819,1421927820,71.300667,112.798203,0.174679,0.078519,0.09616,0,1,0,0,0,1,1,1,2,1,1,1,Reconnaissance,1
18,59.166.0.0,43481,149.171.126.3,80,tcp,FIN,1.005896,1684,10168,31,29,3,5,http,12438.66211,76381.65625,14,18,255,255,4209840063,4210847490,120,565,1,3924,8765.746983,7675.697068,1421927819,1421927820,77.348233,59.14011800000001,0.000638,0.0005070000000000001,0.000131,0,0,1,0,0,3,1,4,1,1,1,1,,0
19,59.166.0.3,1340,149.171.126.6,80,tcp,FIN,1.013723,1580,10168,31,29,3,5,http,11435.07617,75791.90625,12,18,255,255,2302363284,153814809,132,565,1,3924,9538.869196,7681.813262000001,1421927819,1421927820,92.123001,59.600414,0.000641,0.000509,0.000132,0,0,1,0,0,1,1,1,3,1,1,1,,0
20,59.166.0.7,63258,149.171.126.7,80,tcp,FIN,1.005855,1580,10168,31,29,3,5,http,11524.52441,76384.77344,12,18,255,255,2482357473,2479188115,132,565,1,3924,9529.893545,7675.039579,1421927819,1421927820,91.40418000000001,59.13588000000001,0.000696,0.000538,0.00015800000000000002,0,0,1,0,0,2,2,1,6,1,1,1,,0
21,59.166.0.9,51798,149.171.126.9,80,tcp,FIN,1.007211,1580,10168,31,29,3,4,http,11509.00879,76281.92969,12,18,255,255,692776969,2843343474,132,565,1,0,9528.610201000001,7675.487395,1421927820,1421927821,91.53054399999999,59.214943999999996,0.000685,0.00055,0.000135,0,0,1,0,0,1,2,4,2,1,1,1,,0
22,59.166.0.4,52860,149.171.126.9,80,tcp,FIN,1.0948,1580,10168,31,29,3,5,http,10588.23535,70179.03125,12,18,255,255,812776486,813811809,132,565,1,3924,9569.657519,7705.5746739999995,1421927820,1421927821,99.492091,64.36788,0.000715,0.000538,0.000177,0,0,1,0,0,1,2,4,1,1,1,1,,0
23,59.166.0.1,1197,149.171.126.0,80,tcp,FIN,1.006494,1684,10168,31,29,3,5,http,12431.27051,76336.26563,14,18,255,255,1892777557,1893757914,120,565,1,3924,8765.653334999999,7675.56938,1421927822,1421927823,77.39484399999999,59.176,0.0006219999999999999,0.000496,0.000126,0,0,1,0,0,1,1,3,4,1,1,1,,0
24,175.45.176.0,4618,149.171.126.17,80,tcp,FIN,0.560773,1306,268,254,252,2,1,http,16776.8418,3195.5888670000004,10,6,255,255,488399530,924960196,131,45,1,0,3096.431149,153.794734,1421927822,1421927823,62.216221999999995,94.112602,0.146868,0.090199,0.056669000000000004,0,1,1,0,0,1,1,1,2,1,1,1,Worms,1
25,175.45.176.1,37856,149.171.126.14,80,tcp,FIN,4.719717,3090,473757,62,252,2,174,http,5156.241211,800746.3125,64,352,255,255,2724793443,3764494262,48,1346,1,229574,3517.430061,1510.870439,1421927818,1421927823,74.901412,13.0611,0.207006,0.135257,0.07174900000000001,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
26,59.166.0.2,39105,149.171.126.5,80,tcp,FIN,1.024936,1580,10168,31,29,3,5,http,11309.97461,74962.73438,12,18,255,255,45293211,2195915711,132,565,1,3924,9532.646938,7677.952233,1421927823,1421927824,93.14481500000001,60.256882999999995,0.000719,0.0005639999999999999,0.000155,0,0,1,0,0,1,1,6,2,1,1,1,,0
27,59.166.0.7,17064,149.171.126.7,80,tcp,FIN,2.0625080000000002,18890,1087890,31,29,2,370,http,73064.4375,4214022.5,354,746,255,255,345291799,346410708,53,1458,1,524288,1178.739075,809.00049,1421927823,1421927825,5.841893,2.7676939999999997,0.000762,0.000571,0.00019099999999999998,0,0,1,0,0,1,1,3,3,1,1,1,,0
28,175.45.176.1,54865,149.171.126.15,80,tcp,FIN,1.02073,1160,2668,62,252,2,2,http,8182.378906,18300.62695,10,8,255,255,2717994057,1037959083,116,334,0,0,6121.791994,201.984297,1421927824,1421927825,113.41444399999999,126.12914099999999,0.294953,0.137154,0.157799,0,1,0,0,0,2,1,1,2,1,1,1,Generic,1
29,59.166.0.5,40993,149.171.126.7,80,tcp,FIN,2.125912,17954,1087890,31,29,2,370,http,67363.09375,4088342.5,336,746,255,255,3150685462,1007950804,53,1458,1,524288,297.77177400000005,178.836517,1421927824,1421927826,6.345039,2.852937,0.000599,0.000466,0.000133,0,0,1,0,0,2,2,3,2,2,1,1,,0
30,59.166.0.5,54432,149.171.126.5,80,tcp,FIN,1.14593,1684,10168,31,29,3,5,http,10918.6416,67047.71875,14,18,255,255,1725293130,3871735151,120,565,1,3924,8836.39418,7737.227125,1421927825,1421927826,88.119695,67.37364699999999,0.0007570000000000001,0.000573,0.000184,0,0,1,0,0,2,1,4,2,2,1,1,,0
31,59.166.0.9,54698,149.171.126.6,80,tcp,FIN,1.008809,1684,10168,31,29,3,5,http,12402.74414,76161.10156,14,18,255,255,1605296767,1606391452,120,565,1,3924,8766.356834999999,7676.252745000001,1421927825,1421927826,77.491541,59.307529,0.000763,0.0005769999999999999,0.00018600000000000002,0,0,1,0,0,1,1,2,1,1,1,1,,0
32,59.166.0.0,38708,149.171.126.9,80,tcp,FIN,1.066088,1580,10168,31,29,3,5,http,10873.39941,72069.10156,12,18,255,255,177808674,178893464,132,565,1,3924,9656.360747,7774.804464,1421927826,1421927827,96.88454499999999,62.676648,0.000741,0.00058,0.000161,0,0,1,0,0,2,1,2,6,1,1,1,,0
33,59.166.0.2,39900,149.171.126.7,80,tcp,FIN,1.1185610000000001,1580,10168,31,29,3,5,http,10363.31445,68688.25,12,18,255,255,117809509,118879639,132,565,1,3924,10446.48732,8411.910497,1421927826,1421927827,101.502634,65.76764399999999,0.000678,0.0005099999999999999,0.000168,0,0,1,0,0,3,2,2,7,1,1,2,,0
34,175.45.176.2,21700,149.171.126.19,80,tcp,FIN,1.806402,1870,3670,62,252,4,4,http,7692.640137,15092.986330000002,14,14,255,255,2913093353,1063962086,134,262,1,173,7197.185326999999,235.86818799999998,1421927826,1421927827,138.954005,132.474531,0.162688,0.083492,0.079196,0,1,1,0,0,1,1,1,3,1,1,1,Exploits,1
35,175.45.176.3,41242,149.171.126.14,80,tcp,FIN,0.730398,1046,268,254,252,2,1,http,10317.66211,2453.456787,10,6,255,255,886814422,473215043,105,45,1,0,3586.9725909999997,179.114937,1421927827,1421927828,70.657667,129.958203,0.194468,0.080601,0.11386700000000001,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
36,59.166.0.2,57636,149.171.126.8,80,tcp,FIN,1.0429979999999999,1684,10168,31,29,3,5,http,11996.188479999999,73664.57031,14,18,255,255,717809443,718836334,120,565,1,3924,8771.737326999999,7681.163920999999,1421927827,1421927828,80.203615,61.317765,0.000762,0.000593,0.000169,0,0,1,0,0,3,2,3,3,1,1,2,,0
