srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.4,49407,149.171.126.9,892418352,tcp,FIN,0.005471,1470,1728,31,29,5,4,-,2053006.75,2346920.25,22,14,255,255,216760104,217049984,67,123,0,0,17.435717,0.538956,1421927597,1421927597,0.260524,0.371,0.000653,0.000514,0.000139,0,0,0,0,0,3,7,4,3,1,1,2,,0
59.166.0.4,52929,149.171.126.9,2.24E+11,tcp,FIN,0.064754,5174,83812,31,29,7,39,-,632177.125,10241962,90,92,255,255,156759518,2306641483,57,911,0,0,44.905587,44.989719,1421927597,1421927597,0.723056,0.705121,0.000729,0.00058,0.000149,0,0,0,0,0,3,7,4,3,1,1,2,,0
59.166.0.6,11130,149.171.126.4,909654065,tcp,FIN,2.921569,13246,548216,31,29,21,197,-,36114.83984,1497729.375,230,438,255,255,2349639155,210640531,58,1252,0,0,3586.126813,2604.241308,1421927594,1421927597,12.756545,6.684448,0.000589,0.000459,0.00013,0,0,0,0,0,11,12,1,2,1,1,1,,0
59.166.0.7,54962,149.171.126.1,2.16E+11,tcp,FIN,0.046901,4014,59460,31,29,7,28,-,674612.5,9997399,68,70,255,255,4149634166,2019540929,59,849,0,0,0,43.602267,1421927597,1421927597,0.695313,0.672826,0.000606,0.000472,0.000134,0,0,0,0,0,12,8,1,2,1,1,1,,0
59.166.0.2,61911,149.171.126.3,2.20E+11,udp,CON,0.001773,528,304,31,29,0,0,-,1786802,1028764.813,4,4,0,0,0,0,132,76,0,0,0.636867,0.295191,1421927597,1421927597,0.454333,0.225667,0,0,0,0,0,0,0,0,5,8,3,4,1,1,3,,0
59.166.0.5,30222,149.171.126.9,892418352,tcp,FIN,0.08982,1470,1728,31,29,5,4,-,125050.1016,142952.5781,22,14,255,255,36759987,2182464757,67,123,0,0,404.536143,14.937507,1421927597,1421927597,4.277143,6.850615,0.000796,0.000622,0.000174,0,0,0,0,0,7,7,4,2,2,1,2,,0
59.166.0.2,39851,149.171.126.7,892418352,tcp,FIN,0.004529,1470,1728,31,29,5,4,-,2480017.75,2835063,22,14,255,255,2602146524,2602452626,67,123,0,0,13.298274,0.387702,1421927598,1421927598,0.215667,0.293231,0.000734,0.000582,0.000152,0,0,0,0,0,5,6,2,1,1,1,1,,0
59.166.0.7,37797,149.171.126.0,12853,tcp,FIN,0.028633,37268,3380,31,29,18,8,smtp,10212552,922013.0625,52,42,255,255,2722150707,2723221660,717,80,0,0,33.145752,1.39216,1421927598,1421927598,0.554471,0.684341,0.000743,0.000571,0.000172,0,0,0,0,0,1,1,2,2,1,1,1,,0
59.166.0.8,18698,149.171.126.7,13619,udp,CON,0.001092,130,162,31,29,0,0,dns,476190.4688,593406.5625,2,2,0,0,0,0,65,81,0,0,0,0,1421927598,1421927598,0.021,0.001,0,0,0,0,0,0,0,0,3,3,2,2,2,1,1,,0
59.166.0.8,38606,149.171.126.0,13619,udp,CON,0.000996,146,178,31,29,0,0,dns,586345.375,714859.4375,2,2,0,0,0,0,73,89,0,0,0,0,1421927598,1421927598,0.011,0.007,0,0,0,0,0,0,0,0,3,3,2,2,2,1,1,,0
59.166.0.9,45270,149.171.126.2,13619,udp,CON,0.001074,130,162,31,29,0,0,dns,484171.3125,603351.9375,2,2,0,0,0,0,65,81,0,0,0,0,1421927598,1421927598,0.011,0.03,0,0,0,0,0,0,0,0,4,1,1,3,2,1,1,,0
59.166.0.9,60194,149.171.126.5,13619,udp,CON,0.000964,130,162,31,29,0,0,dns,539419.0625,672199.1875,2,2,0,0,0,0,65,81,0,0,0,0,1421927598,1421927598,0.01,0.007,0,0,0,0,0,0,0,0,4,1,1,3,2,1,1,,0
59.166.0.6,34054,149.171.126.8,892418352,tcp,FIN,0.004722,1470,1728,31,29,5,4,-,2378653,2719186.75,22,14,255,255,2782145634,2782448784,67,123,0,0,12.930862,0.448798,1421927598,1421927598,0.224857,0.310923,0.000672,0.000543,0.000129,0,0,0,0,0,11,11,7,6,1,1,4,,0
59.166.0.3,57151,149.171.126.4,909654065,tcp,FIN,2.696906,13558,548216,31,29,21,197,-,40048.85547,1622496.25,236,438,255,255,924249603,3088492620,57,1252,0,0,2378.24895,1709.592361,1421927595,1421927598,11.474842,6.170355,0.000587,0.00046,0.000127,0,0,0,0,0,6,12,7,3,2,1,2,,0
59.166.0.1,65172,149.171.126.4,3223857,udp,CON,0.124379,568,320,31,29,0,0,-,27400.12305,15436.68945,4,4,0,0,0,0,142,80,0,0,51.380027,33.903883,1421927598,1421927598,36.341668,23.983666,0,0,0,0,0,0,0,0,9,12,7,5,2,1,2,,0
59.166.0.6,21736,149.171.126.8,3223857,udp,CON,0.005124,568,312,31,29,0,0,-,665105.375,365339.5938,4,4,0,0,0,0,142,78,0,0,1.629647,1.726285,1421927598,1421927598,1.159333,1.225667,0,0,0,0,0,0,0,0,11,11,7,6,1,1,4,,0
59.166.0.9,44806,149.171.126.1,3224627,tcp,FIN,0.686779,7816,15092,31,29,30,32,-,90299.78906,174414.1875,122,126,255,255,2486344965,337846540,64,120,0,0,417.113326,413.171112,1421927598,1421927598,5.672711,5.489696,0.000771,0.000563,0.000208,0,0,0,0,0,2,8,2,3,1,1,1,,0
59.166.0.3,48943,149.171.126.1,858861878,tcp,FIN,0.105423,4014,59460,31,29,7,28,-,300124.25,4447682,68,70,255,255,2422148433,291716141,59,849,0,0,89.033232,87.141797,1421927597,1421927598,1.568716,1.519681,0.000717,0.000561,0.000156,0,0,0,0,0,6,8,2,3,1,1,1,,0
59.166.0.1,22531,149.171.126.4,2.33E+11,udp,CON,0.037072,536,304,31,29,0,0,-,86750.10938,49201.55469,4,4,0,0,0,0,134,76,0,0,9.868155,11.294146,1421927598,1421927598,6.995333,7.994667,0,0,0,0,0,0,0,0,9,12,7,5,1,1,2,,0
59.166.0.1,38310,149.171.126.8,2.20E+11,tcp,FIN,0.004917,3744,2456,31,29,7,7,-,5753101.5,3774659.5,18,18,255,255,2542150734,399890482,208,136,0,0,13.361922,0.34074,1421927598,1421927598,0.270588,0.257118,0.000678,0.000543,0.000135,0,0,0,0,0,9,11,7,5,1,1,3,,0
59.166.0.6,7434,149.171.126.4,909654065,tcp,FIN,4.39916,16640,707082,31,29,26,253,-,30158.48633,1283554.125,292,560,255,255,204248858,208438110,57,1263,0,0,6835.585093,4947.65727,1421927594,1421927598,15.116233,7.868725,0.000709,0.000539,0.00017,0,0,0,0,0,11,12,7,6,2,1,2,,0
59.166.0.3,51991,149.171.126.4,909654065,tcp,FIN,3.431275,11514,485110,31,29,19,174,-,26709.60547,1128117.125,198,388,255,255,3073831361,3097825998,58,1250,0,0,5309.81998,3824.050026,1421927595,1421927598,17.415767,8.860868,0.002327,0.002108,0.000219,0,0,0,0,0,6,12,7,3,2,1,2,,0
59.166.0.6,6473,149.171.126.4,909654065,tcp,FIN,4.026812,12934,548216,31,29,21,197,-,25582.51953,1086646.25,224,438,255,255,204247950,2360745175,58,1252,0,0,6163.270733,4411.752691,1421927594,1421927598,18.056023,9.213657,0.000567,0.00044,0.000127,0,0,0,0,0,11,12,7,6,2,1,2,,0
59.166.0.1,46018,149.171.126.8,3223857,udp,CON,0.004606,568,320,31,29,0,0,-,739904.4375,416847.5625,4,4,0,0,0,0,142,80,0,0,1.681972,1.479975,1421927598,1421927598,1.195333,1.051,0,0,0,0,0,0,0,0,9,11,7,5,2,1,3,,0
59.166.0.1,9637,149.171.126.8,2.24E+11,udp,CON,0.001737,536,304,31,29,0,0,-,1851468.125,1050086.375,4,4,0,0,0,0,134,76,0,0,0.636867,0.295108,1421927598,1421927598,0.454333,0.215667,0,0,0,0,0,0,0,0,9,11,7,5,1,1,3,,0
59.166.0.6,25556,149.171.126.8,2.16E+11,tcp,FIN,0.238613,4736,2768,31,29,7,7,-,151575.9844,88947.375,22,24,255,255,696770061,2845588122,215,115,0,0,933.898885,26.064811,1421927598,1421927598,11.346905,10.353131,0.00063,0.00049,0.00014,0,0,0,0,0,11,11,7,6,1,1,4,,0
59.166.0.7,35812,149.171.126.4,13619,udp,CON,0.001114,146,178,31,29,0,0,dns,524237,639138.25,2,2,0,0,0,0,73,89,0,0,0,0,1421927598,1421927598,0.011,0.008,0,0,0,0,0,0,0,0,1,2,7,2,1,1,1,,0
59.166.0.6,24131,149.171.126.8,2.11E+11,udp,CON,0.001616,528,304,31,29,0,0,-,1960396.125,1128712.875,4,4,0,0,0,0,132,76,0,0,0.58737,0.264929,1421927598,1421927598,0.419333,0.191333,0,0,0,0,0,0,0,0,11,11,7,6,1,1,4,,0
59.166.0.5,42085,149.171.126.3,875706675,tcp,FIN,0.028871,4014,59460,31,29,7,28,-,1095909.375,16240795,68,70,255,255,3506344564,1366694878,59,849,0,0,23.257217,22.568964,1421927599,1421927599,0.426179,0.409942,0.000735,0.000579,0.000156,0,0,0,0,0,7,8,3,2,1,1,1,,0
